,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location.latitude,location.longitude,location.human_address,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,closed_date,resolution_description,resolution_action_updated_date,address_type,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
1,50052710,2021-03-19T00:59:22.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10472,1030 METCALF AVENUE,METCALF AVENUE,BRUCKNER BOULEVARD,BX RIVER PARKWAY EXIT NORTHBOUND,BRUCKNER BOULEVARD,BX RIVER PARKWAY EXIT NORTHBOUND,BRONX,METCALF AVENUE,In Progress,09 BRONX,2037210021,BRONX,1019785,240003,MOBILE,Unspecified,BRONX,40.82535685,-73.87160325,40.82535685,-73.87160325,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11610,58,5,31,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,50053894,2021-03-19T00:58:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,55 EAST   99 STREET,EAST   99 STREET,MADISON AVENUE,METRO NORTH-CONNECTING RAIL LINE,MADISON AVENUE,METRO NORTH-CONNECTING RAIL LINE,NEW YORK,EAST   99 STREET,In Progress,11 MANHATTAN,1016050024,MANHATTAN,997469,226727,MOBILE,Unspecified,MANHATTAN,40.78897949,-73.95226259,40.78897949,-73.95226259,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12426,7,4,35,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,50053655,2021-03-19T00:58:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11212,68 EAST   96 STREET,EAST   96 STREET,EAST NEW YORK AVENUE,RUTLAND ROAD,EAST NEW YORK AVENUE,RUTLAND ROAD,BROOKLYN,EAST   96 STREET,In Progress,17 BROOKLYN,3045980042,BROOKLYN,1005034,181318,ONLINE,Unspecified,BROOKLYN,40.66432836,-73.92508358,40.66432836,-73.92508358,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17614,61,2,17,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,50047665,2021-03-19T00:56:16.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10458,166 EAST  205 STREET,EAST  205 STREET,GRAND CONCOURSE,LISBON PLACE,GRAND CONCOURSE,LISBON PLACE,BRONX,EAST  205 STREET,In Progress,07 BRONX,2033110107,BRONX,1015966,258183,PHONE,Unspecified,BRONX,40.87527006,-73.88531623,40.87527006,-73.88531623,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10936,24,5,40,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,50049573,2021-03-19T00:55:56.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11210,987 EAST   21 STREET,EAST   21 STREET,DEAD END,AVENUE I,DEAD END,AVENUE I,BROOKLYN,EAST   21 STREET,In Progress,14 BROOKLYN,3075670025,BROOKLYN,996475,168461,MOBILE,Unspecified,BROOKLYN,40.62905463,-73.95595799,40.62905463,-73.95595799,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17217,60,2,26,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,50052188,2021-03-19T00:54:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10128,155 EAST   88 STREET,EAST   88 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,NEW YORK,EAST   88 STREET,In Progress,08 MANHATTAN,1015170025,MANHATTAN,996960,223670,ONLINE,Unspecified,MANHATTAN,40.78058959,-73.95410652,40.78058959,-73.95410652,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10099,23,4,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,50047505,2021-03-19T00:52:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10016,14 EAST   37 STREET,EAST   37 STREET,5 AVENUE,JAN KARSKI CORNER,5 AVENUE,JAN KARSKI CORNER,NEW YORK,EAST   37 STREET,In Progress,05 MANHATTAN,1008660067,MANHATTAN,989210,212479,ONLINE,Unspecified,MANHATTAN,40.74988094,-73.9820986,40.74988094,-73.9820986,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12078,11,4,51,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,50050997,2021-03-19T00:52:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10463,3340 BAILEY AVENUE,BAILEY AVENUE,WEST  233 STREET,BAILEY PLACE,WEST  233 STREET,BAILEY PLACE,BRONX,BAILEY AVENUE,In Progress,08 BRONX,2032610102,BRONX,1011732,259987,MOBILE,Unspecified,BRONX,40.88023568,-73.90061878,40.88023568,-73.90061878,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11272,48,5,29,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,50048611,2021-03-19T00:52:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10012,124 MAC DOUGAL STREET,MAC DOUGAL STREET,MINETTA LANE,WEST    3 STREET,MINETTA LANE,WEST    3 STREET,NEW YORK,MAC DOUGAL STREET,In Progress,02 MANHATTAN,1005400011,MANHATTAN,984130,205254,ONLINE,Unspecified,MANHATTAN,40.7300515,-74.00043297,40.7300515,-74.00043297,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12075,57,4,32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,50047575,2021-03-19T00:51:41.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10030,654 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  141 STREET,WEST  145 STREET,WEST  141 STREET,WEST  145 STREET,NEW YORK,ST NICHOLAS AVENUE,In Progress,09 MANHATTAN,1020510029,MANHATTAN,999348,238961,MOBILE,Unspecified,MANHATTAN,40.82255543,-73.9454495,40.82255543,-73.9454495,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12427,37,4,36,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
